52910.297314  19.090 0.045
52931.227516  19.040 0.051
52935.224478  19.059 0.048
52959.167807  19.050 0.038
52963.147552  19.151 0.039
53352.118617  19.399 0.063
53622.326919  19.506 0.107
53634.276389  19.186 0.068
53636.281922  19.480 0.130
53638.317723  19.359 0.056
53640.281759  19.213 0.130
53655.253930  19.347 0.078
53664.278886  19.282 0.073
53666.242491  19.252 0.059
53669.238129  19.275 0.057
53671.322902  19.248 0.072
53674.222365  19.263 0.054
53676.311844  19.241 0.049
53679.283735  19.347 0.089
53681.275248  19.484 0.067
53685.234299  19.468 0.099
53694.248178  19.212 0.111
53697.232272  19.233 0.061
53700.231230  19.353 0.073
53705.217900  19.359 0.054
53975.302900  19.388 0.072
53990.315733  19.416 0.063
53993.370703  19.519 0.087
53994.325888  19.600 0.069
53996.309625  19.477 0.067
#53998.278337z -99.000 0.631
54005.308510  19.416 0.047
54010.263735  19.530 0.054
54012.256581  19.409 0.057
54020.262574  19.440 0.173
54024.344221  19.219 0.103
54028.252969  19.384 0.067
54030.256116  19.399 0.051
54035.331889  19.100 0.126
54037.237365  19.504 0.066
54040.251851  19.538 0.079
#54047.282754z -99.000 0.169
54049.278402  19.429 0.105
54053.242669  19.257 0.057
54062.243525  19.485 0.113
54068.224160  19.366 0.080
54357.281796  19.338 0.051
#54362.331585z -99.000 0.135
54382.311797  19.520 0.085
54385.329622  19.400 0.053
54387.330106  19.345 0.070
54392.324862  19.324 0.061
54402.323356  19.290 0.062

