51081.289160 19.274 0.022
51819.360308 19.446 0.020
52558.325579 19.909 0.036
52577.213081 19.817 0.027
52586.216559 19.811 0.029
52910.297041 19.843 0.024
52931.227241 19.918 0.030
52935.224205 19.852 0.026
52959.167534 19.856 0.022
52963.147278 19.906 0.022
53352.118343 19.706 0.023
53622.326646 19.914 0.038
53634.276117 19.778 0.041
53638.317451 19.845 0.025
#53640.281486 -99.000 0.038
53655.253657 19.891 0.041
53664.278614 19.881 0.037
53666.242218 19.880 0.028
53669.237857 19.849 0.025
53671.322629 19.801 0.034
53674.222091 19.839 0.027
53676.311572 19.909 0.028
53679.283462 19.920 0.039
53681.274975 19.902 0.028
53685.234027 19.895 0.062
53694.247904 19.827 0.062
53697.231998 19.899 0.034
53700.230957 19.950 0.033
53705.217627 19.913 0.026
53975.302687 19.801 0.032
53990.315454 19.806 0.030
#53993.370450 -99.000 0.067
53994.325651 19.845 0.026
53996.309362 19.789 0.028
#53998.278099 -99.000 0.099
54005.308230 19.794 0.022
54010.263481 19.804 0.025
54012.256343 19.780 0.030
54020.262294 19.942 0.089
54024.343894 19.864 0.051
54028.252689 19.800 0.027
54030.255879 19.775 0.022
54035.331614 19.898 0.080
54037.237101 19.826 0.026
54040.251638 19.870 0.037
#54047.282284 -99.000 0.094
54049.278028 19.804 0.042
54053.242357 19.759 0.028
#54056.244086 -99.000 0.075
54062.243243 19.777 0.038
54068.223794 19.811 0.042
54357.281536 19.796 0.026
#54362.331329 -99.000 0.048
54382.311568 19.849 0.035
54385.329340 19.819 0.026
54387.329850 19.769 0.031
54392.324567 19.816 0.033
54402.323027 19.773 0.039

