51081.289024  19.720 0.020
52558.325459  19.151 0.013
52577.212961  19.170 0.012
52586.216438  19.199 0.011
52910.296921  20.010 0.019
52935.224085  19.948 0.018
52959.167414  20.000 0.016
52963.147159  19.968 0.043
53294.304212  20.159 0.023
53352.118224  20.127 0.019
53622.326527  20.013 0.022
53626.289724  19.934 0.022
53634.275997  19.886 0.047
53638.317331  19.902 0.019
53640.281367  19.659 0.025
53655.253538  19.760 0.030
53664.278494  19.725 0.029
53666.242099  19.740 0.021
53669.237737  19.721 0.015
#53671.322510g -99.000 0.019
53674.221974  19.695 0.015
53676.311450  19.693 0.016
53679.283343  19.701 0.018
53681.274855  19.792 0.016
53697.231880  19.619 0.018
53700.230838  19.661 0.016
53705.217508  19.661 0.015
53975.302779  19.763 0.019
#53990.315323g -99.000 0.029
#53993.370330g -99.000 0.051
53994.325540  19.771 0.015
#53996.309290g -99.000 0.047
54005.308173  19.811 0.018
54010.263344  19.776 0.020
54012.256204  19.744 0.031
#54020.262182g -99.000 0.039
54024.343798  19.728 0.026
54028.252561  19.718 0.024
54030.255764  19.755 0.018
54035.331558  19.738 0.063
54037.236978  19.743 0.023
54040.251500  19.754 0.034
54049.277981  19.762 0.043
54053.242249  19.736 0.021
54056.243915  19.748 0.025
54062.243112  19.696 0.021
54068.223663  19.584 0.032
54357.281403  19.214 0.030
#54362.331232g -99.000 0.030
#54382.311436g -99.000 0.017
54385.329213  19.192 0.018
54387.329731  19.238 0.032
54392.324457  19.212 0.020
#54402.322935g -99.000 0.029
