51081.283081  19.365 0.030
52196.299902  19.548 0.024
52197.313008  19.598 0.026
52225.163197  19.572 0.024
52231.198980  19.579 0.022
52253.185151  19.633 0.034
52557.306982  19.468 0.028
52558.319511  19.497 0.021
52577.207013  19.451 0.025
52578.203067  19.492 0.021
52586.210490  19.461 0.027
52908.281550  19.485 0.024
52910.290972  19.366 0.022
52911.295337  19.419 0.028
52930.172709  19.444 0.024
52931.221174  19.425 0.023
52934.213451  19.458 0.025
52935.218137  19.487 0.025
52936.209377  19.449 0.024
52959.161466  19.430 0.022
52962.134898  19.462 0.026
52963.141210  19.432 0.022
53270.273452  19.413 0.022
53272.323380  19.524 0.026
53286.292099  19.543 0.026
53288.250592  19.417 0.020
53302.246258  19.442 0.033
53312.201811  19.531 0.032
53313.211338  19.473 0.034
53314.202986  19.489 0.026
53352.112275  19.432 0.025
#53616.307353i -99.000 0.313
53623.297564  19.438 0.028
53626.283776  19.429 0.023
53628.268641  19.398 0.030
53634.270049  19.411 0.036
53637.270257  19.267 0.033
53638.311385  19.400 0.024
53639.315635  19.452 0.024
53644.262704  19.368 0.022
53654.297326  19.446 0.022
53655.247590  19.298 0.037
53656.244921  19.422 0.032
53663.258231  19.471 0.024
53664.272546  19.404 0.029
#53665.236199i -99.000 0.564
53666.236149  19.488 0.025
53668.247831  19.550 0.038
53669.231788  19.396 0.021
53670.252682  19.451 0.025
53671.316561  19.424 0.028
53673.220667  19.418 0.023
53674.216025  19.433 0.024
53675.217555  19.487 0.026
53676.305503  19.447 0.022
53677.238586  19.436 0.019
53679.277394  19.426 0.032
53680.225252  19.470 0.021
53681.268906  19.406 0.024
53685.227957  19.433 0.051
53693.227149  19.484 0.028
#53694.241836i -99.000 0.048
53697.225931  19.363 0.026
#53698.224540i -99.000 0.028
53700.224890  19.421 0.024
53704.210474  19.467 0.026
53705.211560  19.443 0.023
53974.303129  19.314 0.022
53975.296587  19.265 0.036
53989.306525  19.277 0.025
53993.364380  19.328 0.025
53994.319551  19.293 0.024
53996.303315  19.311 0.023
#53997.402177i -99.000 0.024
#53998.272120i -99.000 0.139
54000.281937  19.292 0.027
54005.302190  19.298 0.020
54007.332088  19.398 0.022
54009.255887  19.309 0.025
54010.257429  19.284 0.023
54011.320348  19.300 0.022
54012.250257  19.325 0.030
54019.270571  19.371 0.022
54020.256225  19.270 0.030
54024.337820  19.320 0.029
54025.319358  19.356 0.024
54028.246620  19.329 0.028
54029.249742  19.353 0.025
54030.249797  19.297 0.025
54035.325583  19.294 0.028
54037.231030  19.253 0.027
54040.245535  19.245 0.032
54047.276049  19.306 0.041
54049.271973  19.282 0.031
54053.236281  19.308 0.023
54056.237985  19.298 0.056
54062.237213  19.226 0.030
54068.217731  19.302 0.036
54348.317110  19.302 0.023
54357.275504  19.267 0.027
54358.272929  19.333 0.024
54359.266991  19.255 0.033
54362.325268  19.274 0.040
54365.305998  19.351 0.025
54373.380227  19.297 0.036
54381.325584  19.285 0.020
54382.305538  19.267 0.025
54385.323266  19.235 0.022
54386.317907  19.257 0.026
54387.323756  19.262 0.028
54388.322145  19.318 0.022
54392.318558  19.240 0.026
54402.316929  19.320 0.037
54403.235957  19.345 0.024
54404.293481  19.278 0.021
54405.291461  19.292 0.020
54406.229753  19.266 0.022
#54412.232689i -99.000 0.024

